512    512    0    808    xxx    xxx    xxx
1024    1024    0    956    xxx    xxx    xxx
2048    2048    0    1276    xxx    xxx    xxx
4096    4096    0    3066    xxx    xxx    xxx
8192    8192    0    10408    xxx    xxx    xxx
16384    16384    0    49159    xxx    xxx    xxx
32768    32768    0    321322    xxx    xxx    xxx
65536    65536    0    1451538    xxx    xxx    xxx
131072    131072    0    5183648    xxx    xxx    xxx
